CaseId,Title,SystemName,SystemSynonyms,Description,PrimaryDomain,Domains,PrimaryActors,SecondaryActors,AllActors,PrimaryActorCount,SecondaryActorCount,TotalActorCount,UseCases,UseCaseCount,RelationshipTypes,RelationshipCount,HasInclude,HasExtend,HasGeneralization,ActorSynonyms,UseCaseSynonyms,CreatedAt
11,Real Time System Controller,Real Time System Controller,Controller System | Real Time Controller | RTS Controller,"The Real Time System Controller manages system maintenance, setup, and shutdown procedures, as well as data acquisition, computation, and information delivery. The Maintenance Crew initiates maintenance procedures, while the Supervisor oversees system setup and shutdown. The System User receives information from the system. Sensors provide input for computation, and actuators execute computational results. The system supports both scheduled and on-demand maintenance.",Data Acquisition and Processing,Data Acquisition and Processing | Real-time Control Systems | Supervisory Control | System Maintenance Management | User Information Systems,Maintenance Crew | Supervisor | System User,Actuator | Sensor,Actuator | Maintenance Crew | Sensor | Supervisor | System User,3,2,5,Acquire Input | Apply Maintenance Procedure | Apply Scheduled Maintenance | Apply Upon Request Maintenance | Inform User | Perform Computation | Run Setup Proedure | Run Shutdown Procdure | Store Result,9,association | extend | generalization | include,10,Yes,Yes,Yes,"Actuator: Effector | Maintenance Crew: Crew Member, Maintenance Personnel | Sensor: Detector, Detector | Supervisor: Overseer, Manager, Bike Supervisor, Manager, Overseer, Supervisor Role | System User: Operator, User","Acquire Input: Receive Input, Get Input | Apply Maintenance Procedure: Execute Procedure | Apply Scheduled Maintenance: Perform Scheduled Maintenance | Apply Upon Request Maintenance: Request Maintenance, Perform Maintenance | Inform User: Notify User | Perform Computation: Compute Data, Process Data | Run Setup Proedure: Execute Setup, Perform Setup | Run Shutdown Procdure: Perform Shutdown, Execute Shutdown | Store Result: Save Result",2026-02-26 18:31:46
12,Aircraft Design Review System,Aircraft Design Review System,Aircraft Review System | Design Review | Review System,"The Aircraft Design Review System facilitates the review and approval of aircraft designs. Design Engineers submit designs and register components. Systems Engineers review these designs. Project Managers approve modifications. The system generates review reports, optionally extending the submission process when changes are required, and incorporates design component registration into the submission process.",Aerospace Engineering,Aerospace Engineering | Configuration Management | Design Review | Project Management | Systems Engineering,Design Engineer | Project Manager | Systems Engineer,,Design Engineer | Project Manager | Systems Engineer,3,0,3,Approve Modification | Generate Review Report | Register Design Component | Review Design | Submit Design,5,association | extend | include,6,Yes,Yes,No,"Design Engineer: Design Analyst, Designer | Project Manager: Program Manager, Project Lead | Systems Engineer: System Engineer, Systems Analyst","Approve Modification: Authorize Change, Accept Change | Generate Review Report: Create Report, Produce Report | Register Design Component: Log Component, Record Component | Review Design: Examine Design, Inspect Design | Submit Design: Provide Design, Present Design",2026-02-26 18:32:05
13,Inverted Pendulum System,Inverted Pendulum System,Pendulum System | Inverted Pendulum,"The Inverted Pendulum System is controlled by a User and subject to external Disturbances. The User can start and stop the controller, set the controller gain, and set the amplifier gain. The Disturbance actor introduces external forces to the system, affecting its stability. The system's core functionality revolves around maintaining the pendulum's balance through controller adjustments.",Control Systems Engineering,Control Systems Engineering | Mechanical Engineering | Robotics | Signal Processing | System Dynamics,User,Disturbance,Disturbance | User,1,1,2,Disturb System | Set Amplifier Gain | Set Controller Gain | Start Controller | Stop Controller,5,association,5,No,No,No,"Disturbance: Impact, Perturbation | User: Borrower, Student, Controller, Customer, Customer, Client, Shopper, Patron, Subscriber, Rider, Passenger, Client, Client, Learner, Caller, Client, Operator",Disturb System: Induce Disturbance | Set Amplifier Gain: Adjust Amplifier | Set Controller Gain: Adjust Gain | Start Controller: Initiate Controller | Stop Controller: Halt Controller,2026-02-26 18:32:29
14,Security System,Security System,Security Infrastructure | Protection System,"The Security System monitors for intrusions and allows an Operator to activate and deactivate the system. An Intruder triggers sensors, which the system monitors. The system's primary function is to detect and respond to security breaches, with the Operator having control over system activation and deactivation, and monitoring system status.",Access Control,Access Control | Intrusion Detection | Physical Security | Security System Management | Surveillance,Intruder | Operator,,Intruder | Operator,2,0,2,Activate System | Deactivate System | Monitor | Trigger Sensor,4,association | extend,5,No,Yes,No,"Intruder: Attacker, Attacker, Threat Actor, Threat | Operator: Admin, User, Controller, User, Staff, Controller, User","Activate System: Start System, Enable System | Deactivate System: Disable System, Shut Down | Monitor: Check Status, Observe System | Trigger Sensor: Sense Event, Activate Sensor",2026-02-26 18:32:49
15,Library Management System,Library Management System,Library System | Management System,"The Library Management System facilitates book-related transactions between Users and Librarians. Users can purchase and borrow books, while Librarians manage user registration and loan updates. The system ensures books are properly tracked and returned, with borrowing inherently including a return process. User registration incorporates loan update functionality.",Book Lending,Book Lending | Inventory Management | Library Management | Transaction Processing | User Account Management,Librarian | User,,Librarian | User,2,0,2,Borrow Book | Purchase Book | Register User | Return Book | Update Loan,5,association | include,6,Yes,No,No,"Librarian: Staff Member, Library Staff | User: Borrower, Student, Controller, Customer, Customer, Client, Shopper, Patron, Subscriber, Rider, Passenger, Client, Client, Learner, Caller, Client, Operator","Borrow Book: Take Book, Check Out Book | Purchase Book: Acquire Book, Buy Book | Register User: Create User, Enroll User, Add User, Create User, Create User | Return Book: Give Back Book | Update Loan: Adjust Loan, Modify Loan",2026-02-26 18:33:08
16,Cellular Telephone,Cellular Telephone,Cell Phone | Telephone System,"The Cellular Telephone system enables users to make and end phone calls, place conference calls, monitor signal strength, and utilize a scheduler. The system interacts with users directly for call management and with the cellular network for signal monitoring and scheduler functionality. The cellular network provides the underlying infrastructure for these services.",Call Management,Call Management | Mobile Computing | Personal Productivity | Telecommunications | Wireless Communication,User,Cellular Network,Cellular Network | User,1,1,2,Cut Call | Monitor Signal Strength | Place Conference Call | Place Phone Call | Use Scheduler,5,association | extend,5,No,Yes,No,"Cellular Network: Cell System, Network | User: Borrower, Student, Controller, Customer, Customer, Client, Shopper, Patron, Subscriber, Rider, Passenger, Client, Client, Learner, Caller, Client, Operator","Cut Call: End Call, Terminate Call | Monitor Signal Strength: Read Signal, Check Signal | Place Conference Call: Initiate Conference, Start Conference | Place Phone Call: Start Call, Initiate Call | Use Scheduler: Run Scheduler, Access Scheduler",2026-02-26 18:33:28
17,Maintenance Management System,Maintenance Management System,MMS | Maintenance System,"The Maintenance Management System facilitates the tracking and execution of maintenance activities for equipment. Customers can request maintenance and register new equipment. Technicians schedule and perform maintenance, while the Maintenance Manager oversees maintenance execution. The system also generates reports, potentially extending from maintenance requests when changes are required. The system supports the lifecycle of equipment maintenance from initial registration through scheduled and reactive maintenance, and reporting.",Asset Management,Asset Management | Corrective Maintenance Management | Equipment Maintenance | Preventive Maintenance Scheduling | Reporting and Analytics,Customer | Maintenance Manager | Technician,,Customer | Maintenance Manager | Technician,3,0,3,Generate Report | Perform Maintenance | Register New Equipment | Request Maintenance | Schedule Maintenance,5,association | extend | include,6,Yes,Yes,No,"Customer: Patron, Passenger, Client, User, Passenger, Traveler, Car Owner, Passenger, Vehicle Owner, Bank Client, Account Holder, User, Client, Shopper | Maintenance Manager: Maintenance Lead, Manager | Technician: Service Personnel, System Expert, Mechanic, Field Engineer, Service Personnel, Service Tech","Generate Report: Produce Report, Produce Report, Create Report, Create Report | Perform Maintenance: Conduct Maintenance, Execute Maintenance, Conduct Service, Execute Maintenance, Conduct Maintenance | Register New Equipment: Add Equipment, Record Equipment | Request Maintenance: Submit Request, File Request | Schedule Maintenance: Plan Maintenance, Arrange Maintenance",2026-02-26 18:33:52
18,Multi Plant DCS,Multi Plant DCS,Multi Plant System | DCS,"The Multi Plant DCS system manages cooling services across multiple plants, involving interactions with Maintenance Operators, Commercial Users, Residential Users, a general User, and a Controller. The Controller manages chiller sequencing and temperature monitoring, while users are alerted to refrigerant leaks. Maintenance Operators provide maintenance services, which can trigger refrigerant leak alerts. Cooling services include monitoring chilled water temperatures. Commercial and Residential Users are specialized types of Users.",Building Management Systems,Building Management Systems | Chiller Plant Operations | HVAC Control Systems | Industrial Automation | Refrigerant Management,Commercial User | Maintenance Operator | Residential User | User,Controller,Commercial User | Controller | Maintenance Operator | Residential User | User,4,1,5,Alert Refrigerant Leakage | Control Chiller Sequencing | Monitor Chilled Water Temperature | Provide Cooling Service | Provide Maintenance,5,association | extend | generalization | include,10,Yes,Yes,Yes,"Commercial User: Customer, User | Controller: Control System | Maintenance Operator: Operator, Maintainer, System Maintainer, Operator | Residential User: Resident, User | User: Borrower, Student, Controller, Customer, Customer, Client, Shopper, Patron, Subscriber, Rider, Passenger, Client, Client, Learner, Caller, Client, Operator","Alert Refrigerant Leakage: Detect Leakage, Report Leakage | Control Chiller Sequencing: Sequence Chiller, Manage Sequencing | Monitor Chilled Water Temperature: Check Temperature, Read Temperature | Provide Cooling Service: Offer Cooling, Deliver Service | Provide Maintenance: Do Maintenance, Perform Maintenance",2026-02-26 18:34:13
19,Ticket Booking System,Ticket Booking System,Booking System | Ticket System,"The Ticket Booking System facilitates the booking of tours and airline tickets through various stakeholders. Customers can book airline tickets and make payments. Travel agents can also book airline tickets and deliver airline tickets. The tourist company is involved in booking tours, and the airline company participates in the airline ticket booking process. Customers may also pay agent fees.",Airline Ticketing,Airline Ticketing | Customer Service | Payment Processing | Tour Booking | Travel Agency Services,Airline Company | Customer | Tourist Company | Travel Agent,,Airline Company | Customer | Tourist Company | Travel Agent,4,0,4,Book Airline Ticket | Book Tour | Deliver Airlineticket | Make Payment | Pay Agent Fee,5,association,8,No,No,No,"Airline Company: Air Carrier, Airline Provider | Customer: Patron, Passenger, Client, User, Passenger, Traveler, Car Owner, Passenger, Vehicle Owner, Bank Client, Account Holder, User, Client, Shopper | Tourist Company: Tour Operator, Tourism Provider | Travel Agent: Travel Provider, Agent","Book Airline Ticket: Schedule Flight, Reserve Ticket | Book Tour: Reserve Tour, Schedule Tour | Deliver Airlineticket: Provide Ticket, Issue Ticket | Make Payment: Submit Payment, Submit Payment, Process Payment, Submit Payment, Process Payment | Pay Agent Fee: Settle Fee, Remit Fee",2026-02-26 18:34:27
20,Bike Management System,Bike Management System,Management System | Bike System,"The Bike Management System facilitates the rental and maintenance of bicycles. Administrators manage bike and customer lists, while Supervisors handle bike issuance and returns. The system supports finding bikes, handling customer inquiries, and generating receipts. The system interacts with Administrators for bike list maintenance and with Supervisors for bike handling operations.",Bike Rental Management,Bike Rental Management | Customer Relationship Management | Inventory Management | Point of Sale | System Administration,Administrator | Supervisor,,Administrator | Supervisor,2,0,2,Find Bike | Handle Bike Return | Handle Enquiry | Issue Bike | Maintain Bike List | Maintain Customer List | Print Receipt,7,association | include,7,Yes,No,No,"Administrator: System Manager, System Admin, System Admin, School Admin, Admin, Admin, Admin, System Admin, Admin, System Manager | Supervisor: Overseer, Manager, Bike Supervisor, Manager, Overseer, Supervisor Role","Find Bike: Locate Bike, Search Bike | Handle Bike Return: Accept Return, Process Return | Handle Enquiry: Process Enquiry, Answer Enquiry | Issue Bike: Provide Bike, Release Bike | Maintain Bike List: Manage Bike, Update Bike | Maintain Customer List: Update Customer, Manage Customer | Print Receipt: Generate Receipt",2026-02-26 18:34:46
21,Restaurant,Restaurant,Food Service | Dining Facility,"The Restaurant system facilitates the ordering, preparation, serving, and payment for food. Clients order food through a Waiter, which initiates the cooking process by the Chef. Once cooked, the Waiter serves the food, and the Client pays the bill through the Cashier. Serving food always includes paying the bill, cooking food always includes serving food, and ordering food always includes cooking food.",Culinary Operations,Culinary Operations | Food Service | Order Processing | Point of Sale (POS) | Restaurant Management,Cashier | Chef | Client | Waiter,,Cashier | Chef | Client | Waiter,4,0,4,Cook Food | Order Food | Pay Bill | Serve Food,4,association | include,9,Yes,No,No,"Cashier: Clerk, Payment Processor, Teller | Chef: Kitchen Staff, Cook | Client: Customer, Diner, Patron, Customer, User | Waiter: Food Server, Server","Cook Food: Prepare Meal, Create Dish | Order Food: Place Order, Request Meal | Pay Bill: Settle Account, Process Payment | Serve Food: Deliver Food, Present Meal",2026-02-26 18:35:03
22,School Management System,School Management System,Management System | School System,"The School Management System facilitates interactions between Administrators, Students, and Teachers to manage school-related information, enrollment, examinations, attendance, and reporting. Administrators add and edit information, prepare report cards, and oversee the system. Students fill admission forms and write exams. Teachers prepare and evaluate exams, and mark attendance.",Academic Reporting,Academic Reporting | Attendance Tracking | Education Management | Examination Management | Student Information Systems,Administrator | Student | Teacher,,Administrator | Student | Teacher,3,0,3,Add Information | Complete Enrolment | Declare Result | Edit Information | Evaluate Exam Paper | Fill Admission Form | Mark Attendance | Prepare Exam Paper | Prepare Report Card | Write Exam,10,association | extend | include,10,Yes,Yes,No,"Administrator: System Manager, System Admin, System Admin, School Admin, Admin, Admin, Admin, System Admin, Admin, System Manager | Student: Learner, Learner, Learner, Enrollee, Candidate, Learner, Course Participant, Pupil | Teacher: Educator, Instructor","Add Information: Record Data, Input Data | Complete Enrolment: Finalize Enrolment, Process Enrolment | Declare Result: Report Result, Publish Result | Edit Information: Modify Data, Update Data | Evaluate Exam Paper: Grade Paper, Assess Paper | Fill Admission Form: Submit Form, Complete Form | Mark Attendance: Track Attendance, Record Attendance | Prepare Exam Paper: Create Exam, Design Exam | Prepare Report Card: Generate Report, Create Report | Write Exam: Compose Exam, Draft Exam",2026-02-26 18:35:26
23,Online Learning System,Online Learning System,Online Platform | Learning System,"The Online Learning System facilitates user registration, account management, access to learning materials, and interaction with service providers. Users can access courses, study materials, and quizzes, while service providers manage user registration and account verification. The system supports profile editing, including password changes, and provides access to FAQs and contact details.",Content Delivery,Content Delivery | Course Catalog | E-Learning | User Account Management | User Support,Service Provider | User,,Service Provider | User,2,0,2,Access Account | Access Quiz | Access Study Material | Change Password | Edit Profile | Register User | Update Account | Verify Account | View Contact Detail | View Course List | View Faq,11,association | extend | include,11,Yes,Yes,No,"Service Provider: Provider, System Admin, Provider, Practitioner | User: Borrower, Student, Controller, Customer, Customer, Client, Shopper, Patron, Subscriber, Rider, Passenger, Client, Client, Learner, Caller, Client, Operator","Access Account: Login Account, Open Account, Open Profile, View Account, Open Account, Login Account, Open Account, View Account | Access Quiz: View Quiz | Access Study Material: Obtain Material, View Material | Change Password: Reset Password | Edit Profile: Modify Profile, Revise Profile | Register User: Create User, Enroll User, Add User, Create User, Create User | Update Account: Modify Account, Revise Account, Modify Account, Adjust Account | Verify Account: Confirm Account | View Contact Detail: See Contact | View Course List: See Cours | View Faq: See Faq",2026-02-26 18:35:51
24,Order_Management_System,Order_Management_System,Order System | Management System,"The Order Management System facilitates the ordering, checking, and segregation of parts. The Purchasing Manager initiates orders, checks permissions, and orders parts. The Warehouse Manager segregates orders, views orders, checks parts, and registers parts. The system extends the 'Order Part' use case with a 'Check Part' function when parts are unavailable.",Inventory Control,Inventory Control | Order Processing | Procurement | Supply Chain Management | Warehouse Operations,Purchasing Manager | Warehouse Manager,,Purchasing Manager | Warehouse Manager,2,0,2,Check Part | Check Permission | Order Part | Place Order | Register Part | See Order | Segregate Order,7,association | extend,8,No,Yes,No,"Purchasing Manager: Procurement Manager, Buyer | Warehouse Manager: Inventory Manager, Stock Manager","Check Part: Inspect Part, Verify Part | Check Permission: Confirm Authority, Verify Access | Order Part: Procure Part, Request Part, Request Part, Procure Part | Place Order: Create Order, Submit Order | Register Part: Record Part, Log Part | See Order: Inspect Order, View Order | Segregate Order: Separate Order, Isolate Order",2026-02-26 18:36:12
