CaseId,SystemName,Description,PrimaryDomain,DomainList,SystemKind,ActorNames,UseCaseNames,PrimaryActorCount,SecondaryActorCount,UseCaseCount,RelationshipCount,RelationshipTypes,HasInclude,HasExtend,HasGeneralization,CaseOrigin
sql-39,Lab  Testing System,"The Lab Testing System facilitates the process of patient assessment, test prescription, test performance, and result delivery. Medical Officers assess patients, prescribe medication and tests. Patients fill out forms and undergo testing. Lab Technicians perform tests and provide results. The system supports the interaction between these stakeholders to manage the lab testing workflow.",Healthcare Administration,Healthcare Administration | Laboratory Information Management | Patient Management | Medical Testing | Prescription Management,System,Medical Officer | Lab Technician | Patient,Fill Form | Prescribe Medication | Assess Patient | Prescribe Test | Give Result | Perform Test,3.0,0.0,6.0,7.0,association,No,No,No,Sql
sql-38,Car Maintenance,"The Car Maintenance system facilitates the process of vehicle repair and upkeep. Customers initiate requests for maintenance, potentially filing insurance claims and making payments. Mechanics perform the maintenance work, sometimes requiring parts to be ordered and shipped. The Service Center manages activities, delivers cars, receives payments, and handles part logistics. The system also includes invoice generation and activity monitoring.",Automotive Maintenance,Automotive Maintenance | Vehicle Repair Services | Parts Ordering and Logistics | Payment Processing | Insurance Claim Management,Maintenance,Mechanic | Customer | Service Center,Receive Payment | Raise Request | Claim Insurance | Make Payment | Send Invoice | Deliver Car | Monitor Activity | Ship Part | Order Part | Perform Maintenance,2.0,1.0,10.0,11.0,association | extend | include,Yes,Yes,No,Sql
sql-37,Clinic Management,"The Clinic Management system facilitates interactions between Doctors, Nurses, and Patients to manage patient information, appointments, and medical records. Doctors can view patient histories and give prescriptions. Nurses can print reports. Patients can schedule appointments and enter their own information. The system also records visit information, which is included as part of the appointment scheduling process.",Healthcare Information Management,Healthcare Information Management | Patient Scheduling | Medical Records Management | Prescription Management | Clinical Reporting,Management,Doctor | Nurse | Patient,View Patient History | Print Report | Give Prescription | Record Visit Information | Schedule Appointment | Enter Patient Information,3.0,0.0,6.0,6.0,association | include,Yes,No,No,Sql
sql-36,Automobile Service Management System,"The Automobile Service Management System facilitates interactions between Car Owners, Service Representatives, Technicians, and Service Engineers to manage vehicle service appointments, repairs, and related information. Service Representatives handle contact information and appointment booking. Technicians perform vehicle repairs, while Service Engineers inspect vehicles. The system supports spare part registration and generates service reports, potentially extending appointment booking when service is required, and includes spare part registration within the appointment process.",Automotive Service Management,Automotive Service Management | Appointment Scheduling | Vehicle Maintenance | Customer Relationship Management | Spare Parts Inventory,System,Service Representative | Technician | Service Engineer | Car Owner,Register Contact Information | Book Appointment | Generate Service Report | Register Spare Part | Repair Vehicle | Inspect Vehicle | Book Service Appointment,4.0,0.0,7.0,8.0,association | extend | include,Yes,Yes,No,Sql
sql-35,Bank,"The Bank system facilitates financial transactions and account management for Customers, supported by Bank Employees. Customers can Deposit Funds, Withdraw Funds, and Open Accounts. Bank Employees Proivde Service to customers. Both Deposit and Withdraw operations include an Update Balance function to maintain accurate account records.",Banking Operations,Banking Operations | Financial Transactions | Account Management | Customer Service | Funds Management,Bank,Bank Employee | Customer,Proivde Service | Update Balance | Withdraw Fund | Deposit Fund | Open Account,2.0,0.0,5.0,6.0,association | include,Yes,No,No,Sql
sql-34,Trading System,"The Trading System facilitates deal capture, price display, risk analysis, account updates, and limit setting. Traders interact with the system to capture deals, view prices, and analyze risks. The Trading Manager sets limits within the system. The Accounting System interacts with the system to update accounts.",Financial Trading,Financial Trading | Risk Management | Account Management | Trade Execution | Financial Regulations,System,Trader | Trading Manager | Accounting System,Capture Deal | Display Price | Analyze Risk | Update Account | Set Limit,2.0,1.0,5.0,5.0,association,No,No,No,Sql
sql-33,Game,"The Game system manages a leaderboard and game settings. Game Administrators can edit, update, and modify settings, while Players can view, play the game, and modify settings. Viewing the leaderboard includes fetching the leaderboard data. Playing the game automatically updates the leaderboard.",Game Management,Game Management | Leaderboard Administration | User Account Management | Game Settings Configuration | Player Engagement,Game,Game Administrator | Player,Edit Leaderboard | Update Leaderboard | Fetch Leaderboard | Modify Setting | View Leaderboard | Play Game,2.0,0.0,6.0,8.0,association | include,Yes,No,No,Sql
sql-32,Renewable Energy Monitoring System,"The Renewable Energy Monitoring System facilitates the monitoring and analysis of energy production from turbines. System Administrators perform equipment checks, Control Engineers analyze energy data, and Field Control Engineers monitor turbines and register new sensors. The system generates energy reports based on turbine monitoring data, and sensor registration is integral to turbine monitoring.",Renewable Energy Management,Renewable Energy Management | Turbine Monitoring | Energy Data Analytics | Sensor Management | System Administration,System,System Administrator | Control Engineer | Field Control Engineer,Generate Energy Report | Register New Sensor | Perform Equipment Check | Analyze Energy Data | Monitor Turbine,3.0,0.0,5.0,6.0,association | extend | include,Yes,Yes,No,Sql
sql-31,Coursework Management,"The Coursework Management system facilitates the administration, delivery, submission, and assessment of coursework. Administrators configure courses, Lecturers retrieve coursework for grading, and Students submit coursework and retrieve their marks. Submitters publish marks, potentially triggered by a student's request to retrieve their mark.",Educational Administration,Educational Administration | Course Management | Student Assessment | Learning Management Systems | Academic Record Keeping,Management,Administrator | Lecturer | Submitter | Student,Set Up Course Configuration | Retrieve Coursework | Publlish Mark | Retrieve Mark | Submit Coursework,4.0,0.0,5.0,6.0,association | extend,No,Yes,No,Sql
sql-30,Surveillance System ,"The Surveillance System monitors a safe zone for sheep and bears, utilizing input from a Mission Operator, Ground Station, GPS Constellation, and Weather data. The system allows for mission planning and preparation, surveying of the safe zone, and protection of sheep. The Ground Station and GPS Constellation provide data for system monitoring. Bears attempt to enter the safe zone, while sheep require protection. Mission preparation includes parameterization and planning phases.",Wildlife Monitoring,Wildlife Monitoring | Security Systems | Mission Planning | Environmental Monitoring | Geospatial Data Processing,System,Mission Operator | Sheep | Bear | Ground Station | GPS Constellation | Weather,Enter Safe Zone | Protect Sheep | Survey Safe Zone | Monitor System | Parameterize Mission | Plan Mission | Prepare Mission,3.0,3.0,7.0,12.0,association | extend | include,Yes,Yes,No,Sql
sql-29,Parking System,"The Parking System manages parking fees and provides receipts. The Parking Manager adjusts parking rates, while Drivers pay parking bills. The system supports hourly and daily rate adjustments, which are generalizations of a broader 'Adjust Rate' function. The Parking Manager can also print receipts.",Parking Management,Parking Management | Payment Processing | Rate Management | Receipt Generation | User Authentication,System,Parking Manager | Driver,Print Reciept | Adjust Hourly Rate | Adjust Daily Rate | Adjust Rate | Pay Parking Bill,2.0,0.0,5.0,5.0,association | generalization,No,No,Yes,Sql
sql-28,Train Ticket Reservation,"The Train Ticket Reservation system enables customers to reserve train tickets through a Ticket Booking App. Customers can access their accounts, choose origins and destinations, select trains, view seat availability, make payments, and receive tickets. The Ticket Booking App facilitates the process by providing access to train schedules, handling payments, and issuing tickets.",Train Travel Booking,Train Travel Booking | Online Payment Processing | User Account Management | Train Schedule Management | Ticket Issuance,Reservation,Customer | Ticket Booking App,Issue Ticket | Receive Payment | Make Payment | Choose Train | Show Available Seat | Show Alternative Train | Show Available Train | Choose Destination | Choose Origin | Access User Account,1.0,1.0,10.0,11.0,association | extend | include,Yes,Yes,No,Sql
sql-27,POS,"The POS system facilitates retail transactions, user management, and activity analysis. Cashiers collect cash and process sales with customer interaction. Managers oversee cash collection and sales processes. System Administrators manage user accounts and security. The system integrates with external actors like the Accounting System and Tax Calculator for financial processing, and the Sales Activity System for data analysis. Returns are handled as an extension of the sales process under specific conditions.",Point of Sale Systems,Point of Sale Systems | Retail Management | Financial Transactions | User Account Management | Sales Analytics,POS,System Administrator | Manager | Cashier | Customer | Accounting System | Tax Calculator | Sales Activity System,Collect Cash | Manage Security | Manage User | Analyze Activity | Handle Return | Process Sale,4.0,3.0,6.0,11.0,association | extend | include,Yes,Yes,No,Sql
sql-26,Healthcare,"The Healthcare system manages patient care processes, from initial complaint recording and admission through assessment, treatment, progress reporting, and eventual discharge. Administrative Clerks record initial complaints, while Guardians and Patients participate in the admission process. Nurses and Doctors assess patient status and advise medical treatment. The system also handles legal authorization and discharge procedures, involving review of summaries and recommendations.",Patient Admission and Discharge,Patient Admission and Discharge | Medical Treatment and Assessment | Patient Record Management | Legal and Regulatory Compliance | Healthcare Administration,Healthcare,Administrative Clerk | Guardian | Patient | Nurse | Doctor,Recommend Patient Discharge | Maintain Progress Report | Advise Medical Treatment | Assess Patient Status | Review Discharge Summary | Obtain Legal Authorization | Record Initial Complaint | Admit Patient,5.0,0.0,8.0,10.0,association | include,Yes,No,No,Sql
sql-25,Coffin Escape System,"The Coffin Escape System facilitates a stunt performance where an Escape Artist attempts to escape from a coffin. The system involves a Coffin Maker who ensures the coffin's quality, a Safety Officer and the Escape Artist who collaborate to minimize risks, and an Audience whose excitement is a key consideration. Computer control can be optionally enabled to assist with fluid pumping during the stunt. The system relies on pumping fluids and ensuring sufficient air within the coffin for the stunt to be performed.",Stunt Performance,Stunt Performance | Risk Management | Safety Systems | Coffin Manufacturing | Audience Engagement,System,Coffin Maker | Audience | Safety Officer | Escape Artist,Enable Computer Control System | Pump Fluid | Allow Stunt Fluid | Ensure Sufficient Air | Ensure Coffin Quality | Maximize Excitement | Minimize Risk | Perform Stunt,4.0,0.0,8.0,10.0,association | extend | include,Yes,Yes,No,Sql
sql-24,Order_Management_System,"The Order Management System facilitates the ordering, checking, and segregation of parts. The Purchasing Manager initiates orders, checks permissions, and orders parts. The Warehouse Manager segregates orders, views orders, checks parts, and registers parts. The system extends the 'Order Part' use case with a 'Check Part' function when parts are unavailable.",Supply Chain Management,Supply Chain Management | Inventory Control | Procurement | Order Processing | Warehouse Operations,Order_Management_System,Purchasing Manager | Warehouse Manager,Check Permission | Place Order | See Order | Segregate Order | Order Part | Check Part | Register Part,2.0,0.0,7.0,8.0,association | extend,No,Yes,No,Sql
sql-23,Online Learning System,"The Online Learning System facilitates user registration, account management, access to learning materials, and interaction with service providers. Users can access courses, study materials, and quizzes, while service providers manage user registration and account verification. The system supports profile editing, including password changes, and provides access to FAQs and contact details.",E-Learning,E-Learning | User Account Management | Course Catalog | Content Delivery | User Support,System,Service Provider | User,Update Account | Change Password | Edit Profile | Access Quiz | Access Study Material | Verify Account | View Contact Detail | View Faq | View Course List | Register User | Access Account,2.0,0.0,11.0,11.0,association | extend | include,Yes,Yes,No,Sql
sql-22,School Management System,"The School Management System facilitates interactions between Administrators, Students, and Teachers to manage school-related information, enrollment, examinations, attendance, and reporting. Administrators add and edit information, prepare report cards, and oversee the system. Students fill admission forms and write exams. Teachers prepare and evaluate exams, and mark attendance.",Education Management,Education Management | Student Information Systems | Examination Management | Academic Reporting | Attendance Tracking,System,Administrator | Student | Teacher,Add Information | Declare Result | Prepare Report Card | Write Exam | Complete Enrolment | Fill Admission Form | Evaluate Exam Paper | Prepare Exam Paper | Mark Attendance | Edit Information,3.0,0.0,10.0,10.0,association | extend | include,Yes,Yes,No,Sql
sql-21,Restaurant,"The Restaurant system facilitates the ordering, preparation, serving, and payment for food. Clients order food through a Waiter, which initiates the cooking process by the Chef. Once cooked, the Waiter serves the food, and the Client pays the bill through the Cashier. Serving food always includes paying the bill, cooking food always includes serving food, and ordering food always includes cooking food.",Restaurant Management,Restaurant Management | Food Service | Point of Sale (POS) | Order Processing | Culinary Operations,Restaurant,Chef | Cashier | Client | Waiter,Pay Bill | Serve Food | Cook Food | Order Food,4.0,0.0,4.0,9.0,association | include,Yes,No,No,Sql
sql-20,Bike Management System,"The Bike Management System facilitates the rental and maintenance of bicycles. Administrators manage bike and customer lists, while Supervisors handle bike issuance and returns. The system supports finding bikes, handling customer inquiries, and generating receipts. The system interacts with Administrators for bike list maintenance and with Supervisors for bike handling operations.",Bike Rental Management,Bike Rental Management | Inventory Management | Customer Relationship Management | Point of Sale | System Administration,System,Administrator | Supervisor,Find Bike | Handle Enquiry | Print Receipt | Handle Bike Return | Issue Bike | Maintain Customer List | Maintain Bike List,2.0,0.0,7.0,7.0,association | include,Yes,No,No,Sql
sql-19,Ticket Booking System,"The Ticket Booking System facilitates the booking of tours and airline tickets through various stakeholders. Customers can book airline tickets and make payments. Travel agents can also book airline tickets and deliver airline tickets. The tourist company is involved in booking tours, and the airline company participates in the airline ticket booking process. Customers may also pay agent fees.",Airline Ticketing,Airline Ticketing | Tour Booking | Payment Processing | Travel Agency Services | Customer Service,System,Tourist Company | Airline Company | Customer | Travel Agent,Pay Agent Fee | Make Payment | Book Tour | Deliver Airlineticket | Book Airline Ticket,4.0,0.0,5.0,8.0,association,No,No,No,Sql
sql-18,Multi Plant DCS,"The Multi Plant DCS system manages cooling services across multiple plants, involving interactions with Maintenance Operators, Commercial Users, Residential Users, a general User, and a Controller. The Controller manages chiller sequencing and temperature monitoring, while users are alerted to refrigerant leaks. Maintenance Operators provide maintenance services, which can trigger refrigerant leak alerts. Cooling services include monitoring chilled water temperatures. Commercial and Residential Users are specialized types of Users.",HVAC Control Systems,HVAC Control Systems | Refrigerant Management | Chiller Plant Operations | Industrial Automation | Building Management Systems,DCS,Maintenance Operator | Commercial User | Residential User | User | Controller,Provide Maintenance | Alert Refrigerant Leakage | Control Chiller Sequencing | Monitor Chilled Water Temperature | Provide Cooling Service,4.0,1.0,5.0,10.0,association | extend | generalization | include,Yes,Yes,Yes,Sql
sql-17,Maintenance Management System,"The Maintenance Management System facilitates the tracking and execution of maintenance activities for equipment. Customers can request maintenance and register new equipment. Technicians schedule and perform maintenance, while the Maintenance Manager oversees maintenance execution. The system also generates reports, potentially extending from maintenance requests when changes are required. The system supports the lifecycle of equipment maintenance from initial registration through scheduled and reactive maintenance, and reporting.",Equipment Maintenance,Equipment Maintenance | Preventive Maintenance Scheduling | Corrective Maintenance Management | Asset Management | Reporting and Analytics,System,Maintenance Manager | Technician | Customer,Generate Report | Register New Equipment | Perform Maintenance | Schedule Maintenance | Request Maintenance,3.0,0.0,5.0,6.0,association | extend | include,Yes,Yes,No,Sql
sql-16,Cellular Telephone,"The Cellular Telephone system enables users to make and end phone calls, place conference calls, monitor signal strength, and utilize a scheduler. The system interacts with users directly for call management and with the cellular network for signal monitoring and scheduler functionality. The cellular network provides the underlying infrastructure for these services.",Telecommunications,Telecommunications | Mobile Computing | Call Management | Wireless Communication | Personal Productivity,Telephone,User | Cellular Network,Cut Call | Place Conference Call | Monitor Signal Strength | Use Scheduler | Place Phone Call,1.0,1.0,5.0,5.0,association | extend,No,Yes,No,Sql
sql-15,Library Management System,"The Library Management System facilitates book-related transactions between Users and Librarians. Users can purchase and borrow books, while Librarians manage user registration and loan updates. The system ensures books are properly tracked and returned, with borrowing inherently including a return process. User registration incorporates loan update functionality.",Library Management,Library Management | Book Lending | User Account Management | Inventory Management | Transaction Processing,System,Librarian | User,Purchase Book | Update Loan | Return Book | Register User | Borrow Book,2.0,0.0,5.0,6.0,association | include,Yes,No,No,Sql
sql-14,Security System,"The Security System monitors for intrusions and allows an Operator to activate and deactivate the system. An Intruder triggers sensors, which the system monitors. The system's primary function is to detect and respond to security breaches, with the Operator having control over system activation and deactivation, and monitoring system status.",Physical Security,Physical Security | Intrusion Detection | Security System Management | Access Control | Surveillance,System,Intruder | Operator,Trigger Sensor | Monitor | Deactivate System | Activate System,2.0,0.0,4.0,5.0,association | extend,No,Yes,No,Sql
sql-13,Inverted Pendulum System,"The Inverted Pendulum System is controlled by a User and subject to external Disturbances. The User can start and stop the controller, set the controller gain, and set the amplifier gain. The Disturbance actor introduces external forces to the system, affecting its stability. The system's core functionality revolves around maintaining the pendulum's balance through controller adjustments.",Control Systems Engineering,Control Systems Engineering | Robotics | System Dynamics | Signal Processing | Mechanical Engineering,System,User | Disturbance,Disturb System | Stop Controller | Start Controller | Set Controller Gain | Set Amplifier Gain,1.0,1.0,5.0,5.0,association,No,No,No,Sql
sql-12,Aircraft Design Review System,"The Aircraft Design Review System facilitates the review and approval of aircraft designs. Design Engineers submit designs and register components. Systems Engineers review these designs. Project Managers approve modifications. The system generates review reports, optionally extending the submission process when changes are required, and incorporates design component registration into the submission process.",Aerospace Engineering,Aerospace Engineering | Design Review | Configuration Management | Systems Engineering | Project Management,System,Project Manager | Systems Engineer | Design Engineer,Generate Review Report | Register Design Component | Approve Modification | Review Design | Submit Design,3.0,0.0,5.0,6.0,association | extend | include,Yes,Yes,No,Sql
sql-11,Real Time System Controller,"The Real Time System Controller manages system maintenance, setup, and shutdown procedures, as well as data acquisition, computation, and information delivery. The Maintenance Crew initiates maintenance procedures, while the Supervisor oversees system setup and shutdown. The System User receives information from the system. Sensors provide input for computation, and actuators execute computational results. The system supports both scheduled and on-demand maintenance.",Real-time Control Systems,Real-time Control Systems | System Maintenance Management | Data Acquisition and Processing | Supervisory Control | User Information Systems,Controller,Maintenance Crew | Supervisor | System User | Sensor | Actuator,Apply Upon Request Maintenance | Apply Scheduled Maintenance | Apply Maintenance Procedure | Run Shutdown Procdure | Run Setup Proedure | Acquire Input | Perform Computation | Store Result | Inform User,3.0,2.0,9.0,10.0,association | extend | generalization | include,Yes,Yes,Yes,Sql
sql-10,UAV Mission Planning,"The UAV Mission Planning system enables an Operator to plan, execute, and monitor missions for Unmanned Aerial Vehicles (UAVs). The Operator interacts with the system to create missions, allocate UAVs, and evaluate mission outcomes. The system utilizes a Camera for image capture during missions, a Server for command processing and mission initiation, and GPS for coordinate management. The system supports creating markers and removing coordinates as part of mission definition, and sending commands to the UAV during mission execution.",UAV Mission Management,UAV Mission Management | Geospatial Data Processing | Command and Control Systems | Image Acquisition | Mission Planning,Planning,Operator | Camera | Server | GPS,Evaluate Mission | Create Marker | Remove Coordinate | Capture Image | Allocate Uav | Feed Command | Assign Search Area | Send Command | Start Mission | Monitor Mission | Create Mission,1.0,3.0,11.0,14.0,association | include,Yes,No,No,Sql
sql-9,Satellite System,"The Satellite System manages the operation of a satellite, enabling payload status retrieval, command transmission (both real-time and stored), infrared sensor pointing, and orbital maneuvers. The system interacts with Payload Operators for status and sensor control, Flight Controllers for orbital adjustments, and Environmental Test Engineers for power generation testing. The Solar Simulation Chamber is used to test electricity generation.",Satellite Command and Control,Satellite Command and Control | Payload Management | Orbital Mechanics | Power Systems Testing | Infrared Sensor Operation,System,Payload Operator | Flight Controller | Environmental Test Engineer | Solar Simulation Chamber,Get Payload Status | Send Real Time Command | Send Stored Command | Point Infrared Sensor | Send Command | Execute Hohmann Transfer | Generate Electricity,3.0,1.0,7.0,10.0,association | generalization | include,Yes,No,Yes,Sql
sql-8,Appointment Booking ,"The Appointment Booking system facilitates the scheduling of appointments between a User and a Service Provider. Users can initiate calls, while Service Providers manage technical issues and appointment slots. The Payment Gateway handles payment-related functionalities. Scheduling an appointment automatically triggers a confirmation. Showing a payment method necessitates receiving payment. Displaying available slots can be extended to show alternative options when no slots are available.",Appointment Scheduling,Appointment Scheduling | Service Management | Payment Processing | Customer Support | Communication,Booking,User | Service Provider | Payment Gateway,Resolve Technical Issue | Send Confirmation | Schedule Appointment | Receive Payment | Show Payment Method | Show Alternative Option | Display Available Slot | Make Call,2.0,1.0,8.0,9.0,association | extend | include,Yes,Yes,No,Sql
sql-7,Cab Booking Application,"The Cab Booking Application facilitates users in booking cabs. Users interact with the system to choose locations, book cabs, view available cabs, confirm bookings, access their accounts, and delete bookings. The Backend actor supports the system by confirming bookings and providing available cab information.",Ride-Hailing Services,Ride-Hailing Services | Transportation Logistics | Mobile Applications | Payment Processing | User Account Management,Application,User | Backend,Choose Location | Delete Booking | Show Driver Information | Confirm Booking | Show Payment Method | Book Cab | Show Available Cabs | Access Account,1.0,1.0,8.0,11.0,association | extend | include,Yes,Yes,No,Sql
sql-6,Sentinel EMS,"The Sentinel EMS system manages product definition, customer management, and environment configuration. Privilege Managers and Customer Service representatives manage customer data. Developers generate product keys, trial products, branded resources, and runtime installers. Product Managers define product features. The system includes functionality for defining both trial and full products, with trial products incorporating runtime installer generation. Environment management is included in branded resource generation and product key generation.",Product Lifecycle Management,Product Lifecycle Management | Entitlement Management | Software Distribution | Customer Relationship Management | Environment Configuration,EMS,Privilege Manager | Customer Service | Developer | Product Manager,Generate Product Key | Define Trial Product | Define Full Product | Manage Customer | Manage Environment | Generate Branded Rus | Generate Runtime Installer | Generate Trial Product | Define Product | Define Feature,4.0,0.0,10.0,13.0,association | extend | generalization | include,Yes,Yes,Yes,Sql
sql-5,Airport,"The Airport system manages passenger check-in, baggage handling, and boarding processes. Airport Staff interact with the system to issue boarding passes and validate check-ins. Passengers interact with the system to validate their check-in (individually or in groups) and drop off baggage. The system includes processes for assigning gates and handling baggage, which are incorporated into other use cases.",Airline Operations,Airline Operations | Airport Security | Baggage Handling | Passenger Check-in | Gate Management,Airport,Airport Staff | Passenger,Assign Gate | Handle Baggage | Enter Security Screening | Issue Boarding Pass | Validate Counter Checkin | Drop Baggage | Validate Individual Checkin | Validate Group Checkin,2.0,0.0,8.0,8.0,association | include,Yes,No,No,Sql
sql-4,Vehicle ,"The Vehicle system manages core vehicle functions and passenger interactions. The Driver operates the vehicle, while the Vehicle Occupant interacts with accessories and enters/exits the vehicle. The system provides functionalities like driving, braking, controlling entertainment and climate, and managing vehicle access. The system interacts with the Driver to perform driving actions, and with the Vehicle Occupant to control accessories and manage entry/exit.",Automotive Engineering,Automotive Engineering | Vehicle Control Systems | Passenger Comfort Systems | Vehicle Safety Systems | Vehicle Access Control,Vehicle,Vehicle Occupant | Driver,Perform Anti Lock Braking | Drive Vehicle | Control Entertainment System | Control Vehicle Accessory | Control Climate System | Exit Vehicle | Open Door | Enter Vehicle,2.0,0.0,8.0,9.0,association | extend | generalization | include,Yes,Yes,Yes,Sql
